count,score0,score1,diff,winner,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12
91,12,30,-18,CPU:Hard,-1,0,2,5,8,6,3,2,-3,-19,-21,-18
92,28,33,-5,CPU:Hard,0,6,20,18,12,14,15,14,16,10,13,-5
93,34,22,12,P1:Normal,1,2,16,11,10,9,7,4,20,10,11,12
94,93,4,89,P1:Normal,-1,1,15,18,36,35,51,71,73,87,85,89
95,28,34,-6,CPU:Hard,1,23,25,24,23,22,23,13,10,8,-8,-6
96,5,49,-44,CPU:Hard,3,3,5,4,-10,-11,-12,-36,-37,-38,-39,-44
97,16,31,-15,CPU:Hard,6,2,1,0,-5,0,-12,-17,-15,-12,-13,-15
98,20,23,-3,CPU:Hard,-1,-3,-3,-5,-3,-9,-7,-8,-13,-18,-19,-3
99,33,12,21,P1:Normal,-1,0,-1,-1,-2,12,10,12,28,27,22,21
100,24,39,-15,CPU:Hard,-2,-4,1,-3,0,-12,4,-6,-8,-9,-14,-15
